"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Checker","United Supermarkets, LLC","Kisharsány, Baranya, Hungary","Entry level","Part-time","Food & Beverages","Food Production","Retail","Management","Manufacturing","",
"Social Media Evaluation for English Speakers in Hungary","Appen","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Social Media Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Part time sales assistant","Bershka","Pécs, Baranya, Hungary","Entry level","Part-time","Hospitality","","","Sales","Business Development","",
"Junior Business Analyst","HyperTeam Üzleti és Informatikai Tanácsadó Kft.","Budapest, Hungary","","Part-time","","","","","","",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Social Media Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Image Data Collection for Hungarian speakers in Hungary","Appen","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Office Administrator - Budapest","Process Solutions","","Entry level","Part-time","Staffing & Recruiting","Human Resources","Accounting","Administrative","","",
"Business Partner - GBS Customer","bp","Budapest, Budapest, Hungary","Mid-Senior level","Part-time","Oil & Energy","","","Finance","","",
"Automotive Support Engineer with Italian","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Automotive Support Engineer with Dutch","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Student - Spanish Speaking Service Desk Analyst - Level 1","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Information Technology","","",
"Talent Acquisition Specialist - part time","Vega Partners","Hungary","Entry level","Part-time","Human Resources","Management Consulting","","Customer Service","Human Resources","Consulting",
"Master Data Specialist (part-time, fixed term)","GE Power","Pest, Hungary","Entry level","Part-time","Mechanical Or Industrial Engineering","Oil & Energy","","Quality Assurance","Distribution","Manufacturing",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Sales Advisor","H&M","Tököl, Pest, Hungary","Entry level","Part-time","Apparel & Fashion","Human Resources","Retail","Sales","Business Development","",
"L1 Technical Support Agent - Part Time (Budapest)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Quality Support (part-time)","Johnson & Johnson Family Of Companies","Budapest, Budapest, Hungary","Entry level","Part-time","Marketing & Advertising","","","Quality Assurance","","",
"Customer Service Agent (Part-Time)","LTVplus","Csenger, Szabolcs-Szatmár-Bereg, Hungary","Entry level","Part-time","Marketing & Advertising","Computer Software","Internet","Customer Service","Information Technology","",
"sales advisor részmunkaidő","H&M","Veszprém, Veszprém, Hungary","Entry level","Part-time","Apparel & Fashion","Human Resources","Retail","Sales","Business Development","",
"Master Data Specialist (part-time, fixed term)","GE Gas Power","Veresegyház, Pest, Hungary","Entry level","Part-time","Information Technology & Services","Mechanical Or Industrial Engineering","Financial Services","Other","","",
"Master Data Specialist (part-time, fixed term)","GE Gas Power","Veresegyház, Pest, Hungary","Entry level","Part-time","Information Technology & Services","Mechanical Or Industrial Engineering","Financial Services","Other","","",
"Finance Operations Associate - Query and Invoice Processing (Part time)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Finance","Sales","",
"Finance Operations Associate - Query and Invoice Processing (Part time)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Finance","Sales","",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Other","","",
"IP/VoIP Support Engineer","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Other","","",
